sent	label
Please put a reminder for me. Time 4 pm to 5.50 pm today. Interval 10 minutes. Reminder DISCUSSION WITH A STARTUP REGARDING THE USE OF ARTIFICIAL INTELLIGENCE IN EDUCATION PROFILING.	DISCUSSION WITH A STARTUP and ARTIFICIAL INTELLIGENCE IN EDUCATION PROFILING
Remind me for my brothers reservation today at 3 pm	my brothers reservation
Thanks there were punctual reminders😊. Yes I would like to be reminded daily	Not Found
of which reminder ?	Not Found
Plz remind me on 17.11.2016 for rent payment at 8.0pm	rent payment
After this reminder	Not Found
Could this call can be stopped?	Not Found
I need a reminder at 7.45am at 17th November	Not Found
Tysm.. can u call twice pls	call twice pls
Umm okay	Not Found
Chaya: you have got the reminders wrong	have got the reminders wrong
Set a rimender for tomorrow ...at 2:00 pm and 10:00 pm	Set a rimender
Plz remind me for tk vegetables from ofc at 5 o clock	tk vegetables from ofc at 5 o clock
Remind me of Sending someone my cheque book	Sending someone my cheque book
Pit ring in oil	Pit ring
Remember Housify	Not Found
Kindly set the same reminder for 12:45	Not Found
Remind me on Monday 11am for Shivendra Payment	Shivendra Payment
Can you set reminder?	Not Found
The reminder is about a scheduled talk in Library in Bhandara.	a scheduled talk
Set me a reminder to dispose the bottle	dispose the bottle
Reminder to servicing my bike on 23-11-2016,	servicing my bike
Remind me to whatsapp sonu bhai	whatsapp sonu bhai
How would you do that	Not Found
Meeting Reminder Date: November 22, 2016 Time: 1 00 PM Meeting with: Delly Venue: Domino's	Domino's
K..will this call charge me something..or	call charge me something..or
Remind me I need to go for a car meeting tomorrow	go for a car meeting
Remind me to get tickets at 2 o'clock	get tickets
Please remind me at 3:55 PM today to purchase Gift Card	purchase Gift Card
Pls remind me at 8.30am	Not Found
Sorry make correction in name i have to call bhagyshri ok	Sorry make correction and call bhagyshri ok
remind me to transfer money to apartment society for monthly maintenance	transfer money to apartment society for monthly maintenance
Hello puneet if i want to remove this reminder so how can i do that	Not Found
Can u remind me to fill railway form before 24th jan	fill railway form
Yes I want this reminder everyday	Not Found
That reminder is supposed to be for 7 pm shraddha	supposed to be for 7 pm shraddha
And remind me to eat Maggi at 5 pm on 28 Dec 2016	eat Maggi
Remind me after 5 days to check refund of 199 from haptic and 199 from freecharge	check refund of 199 from haptic and 199 from freecharge
For both reminders, kindly put as notification only. Thank You	Not Found
Help me out with the schedule for mu studies	Not Found
I'm a business man and I have to call or contact many people and sometimes I used to forget things then how this app could help me out?	I'm a business man and call or contact many people and sometimes I used to forget things then how this app could help me out
Plz remind me to book a cab at around 1pm	book a cab
Remind me tomorrow at 10am	Not Found
Remind me to get ready at 4pm	get ready
Reminder me today at 2:30 for Marathon BIB collection from linking road	Marathon BIB collection from linking road
Reminder for premium payment li	premium payment li
will u please remind me today too	Not Found
Gym remainder	Not Found
Thank you! Also remind me it's for haircut	Not Found
Hey hi actually my meeting on Saturday has been preponed to time at 12 kindly do remind	been preponed to time
I think I scheduled by 9 am n 9 pm	Not Found
Pls remind me to give laundry at 6:30 pm	give laundry
Thanks for reminding me.	Not Found
Remind me at 12.30 pm on 15.11.2016	Not Found
Hey can u pls schedule a reminder of posting a CD post at 2.30 pm	posting a CD post
I hve set reminder at 8.30	Not Found
Please set this reminder for daily	Not Found
Can you arrange me for a call back from iffco tokio	call back
U thanks for your reminder	Not Found
I planned to meet my auditor mor 9.00am so set remainder@8.30 am	meet my auditor
set walk up reminder on 5:00am	Not Found
Need you to remind everyday	Not Found
Can I add 2-3 to do List reminders at a time?	Not Found
Remind me on Sunday morning 10:30	Not Found
Can you remind I want to go college at 1:00am	go college
Remind me today I am having meeting about my new idea at 8 pm	having meeting about my new idea
12.00am	Not Found
Tomorrow pls remind me on 1.00 pm	Not Found
Night at 12am??	Not Found
Remind me to deposit cheque tomorrow	deposit cheque
Please remind me for dispatch the Vodafone billing	dispatch the Vodafone billing
Tomorrow remember me one's at the same time ok	Not Found
Please remind me again by 11pm	Not Found
Remind me for yoga classes at 5 pm tomarrow.	yoga classes
Hi.. can u plz remind me to deposit my cheque in eve	deposit my cheque
Dear Customer,your request SR443862263 is registered on 02/12/2016. It will be processed in 3 working days from request date. Talk to ICICI about complaint status afte 3 days	Dear Customer,your request SR443862263 and It will be processed and Talk to ICICI about complaint status
Set my reminder for today to talk with mom about anu boutique at 5 : 30 pm only for today	talk with mom about anu boutique and 30 pm only
Reminder to chng atm pin	chng atm pin
Hi ... Thanks for the reminder..	Not Found
Remind me to take Money From Nana	take Money From Nana
Pls set a alarm for daily monday to friday 11.30 am	Not Found
Do you only call or sms also you do or email ?	do or email
Hii let me remind to go to shiva house at 8 pm today	go to shiva house
Call pappu in 5 min	Call pappu
Where is the 2pm reminder ?	Where
Remind every year	Not Found
I got into schedule	Not Found
Tomorrow	Not Found
I might need two alarms	Not Found
Pls. Remind me tomorrow I will go to d p s school on 11.03 am	go to d p s school
Remind me for doctor appointment at 8 December 6.45 PM	doctor appointment
And keep calling me unitill i pick up	keep calling me unitill i pick up
Remind me to meet SantBetra Ashok in Ghaziabad on 5 November 9 Am	meet SantBetra Ashok
Can u send me all the list of the reminders	Not Found
Remind me on sunday 8 pm to watch movie . Jungle book	watch movie . Jungle book
Need another reminder	another reminder
Can you remind me for my today's movie at 11.15?	my today's movie
Please set at	Not Found
Remind me to study at 11:30 AM on 12 November 2016	study
I have set an alarm everyday	Not Found
Set a reminder at 9 pm today	Not Found
Hi Sayali, can you change these reminders to every 3 hours everyday.. I think now it is set to every 2 hours	set to every 2 hours
What else you can remind me	Not Found
Yes.....can you just remind at 7 pm about my tution	my tution
But dear you should have call me on 6 AM	call me
Remind me in at 9 o clock today	Remind me in at 9 o clock
Remind me to get Aadhaar card around 9pm tonight	get Aadhaar card around 9pm
Shraddha I would like to make some corrections to my remainder I would like to have it at 7 pm today instead of 8pm	make some corrections and have it
Dp remind me at 8	Not Found
Please remind me to book a ticket tomorrow at 11:00 am	book a ticket
Remind me to gargle every 2 hours today	gargle
Remind me for gym at 5.30 pm today	Remind me for gym
Can I get a reminder to take a Xerox of my documents tomorrow at 12pm afternoon	take a Xerox of my documents
The alarm has alreday been set...hope u can see that...	hope u can see that...
I need to fix the remainder to access the haptick team	access the haptick team
Reminde only by text	Not Found
Remind me to fill the time tracker at 8 today	fill the time tracker
Remind me by every 2hr	Not Found
Good Mrng tell me one thing.... Am I supposed to activate or open hapstick once and only then do I start getting reminders??!!	Good Mrng tell me one thing and activate or open hapstick
Please remind me to tell about hashim to My wife	tell about hashim to My wife
Remind me to sign the form from Attige at 8pm today	sign the form from Attige
Can u call me at 8:35 again	call me
I will.. And thanks for reminders to put reminders..	put reminders
Hi I'd asked for the reminder to discontinue	discontinue
Pls Can u remind After 2 hrs for Eyes Drop	hrs for Eyes Drop
Can you pls check do I have any recurring meetings scheduled on every month's first sunday?	any recurring meetings scheduled
u have set reminder every morning 7.55am except saturday sunday.	Not Found
:) Can you remind me to boil my eggs at 5pm?	boil my eggs
How will the remainder be	How
Hi, good morning. Will tell you in a while.	Will tell you in a while
Remind me for booking pass at 3pm bhandup west	booking pass and bhandup west
Yusuf a slight change in my last reminder	Yusuf a slight change
If i activate DND then what about the services I might have registered for will they be blocked as well?	If i activate DND then what about the services I might have registered for will they be blocked
Have you remember I have added a reminder	Not Found
I want to set up a reminder	Not Found
Remind me now after 5mins on 8861530994	Not Found
Thank you for your reminders.	Thank you for your reminders
Remind me every 1 hour from 10:00 am to 6:00 pm	Not Found
Daily vll u remind	Not Found
Is this automated reminders or manual?	this automated reminders or manual
Thank you for the reminders!	Thank you for the reminders
Where is my others reminder ??	Not Found
So 3 reminders total?	Not Found
Remind me to mail team at 11 pm today	mail team
so how you will remind me	Not Found
Hey, I got my Journey at 7 pm can u remind me at 3 pm to re check my Reservation status for tmrw	I got my Journey and re check my Reservation status
Remind me to go for result	go for result
Please call me on 1 June 2017 at 7 pm and continue to call every alternate days till 30 September 2017	call
Remind me of : Bra CBSE school form Cheque book Old currency	Bra CBSE school form Cheque book Old currency
Need a reminder at 11am tomorrow related to stock trading	Need a reminder and related to stock trading
Remind me to search for the mobile at noon tomorrow	search for the mobile
Set a to do reminder	Not Found
Reminder for bank deposit	bank deposit
Meeting Reminder Date: November 8, 2016 Time: 6 23 PM Meeting with: Rumao felix Venue: Vijay sales	Vijay sales
Please remind me for lunch at 12:30 pm today	lunch
Remind again at 1.30pm	Not Found
Call me at 9 am 11th november	Call me
Can you pls remind me every Friday for filling Timesheet	filling Timesheet
Can you set reminder between 12pm-11pm	Not Found
call me as many times	Not Found
Call back preeti at 3 pm, for confirmation of the meeting	Call back preeti and confirmation of the meeting
Hey can i get a homework reminder	Not Found
Remind me to do core strengthening exercises at 5:30	do core strengthening exercises
Can you tell me why do I have reminder on SATURDAY ?	Not Found
And please remind me to go to computer shop at 11.10 am today	go to computer shop
Remind me tmw to meet HR	meet HR
Remind me to visit the doctor tomorrow at 5 pm	visit the doctor
Please remind me by 4	Not Found
This reminder for dr. Appointment	dr. Appointment
Can you remind me again on Monday?	Not Found
